,equity,nav
2020-05-19,1423873.09584279,1.42387309584279
2020-05-20,1412293.925433131,1.412293925433131
2020-05-21,1409285.9852301113,1.4092859852301114
2020-05-22,1410077.5979368403,1.4100775979368403
2020-05-25,1386714.9431112146,1.3867149431112145
2020-05-26,1396623.1183555226,1.3966231183555227
2020-05-27,1386908.7177360458,1.3869087177360457
2020-05-28,1379832.3907895298,1.3798323907895298
2020-05-29,1370606.9130374505,1.3706069130374505
2020-06-01,1331202.3052421287,1.3312023052421287
2020-06-02,1339341.2105233083,1.3393412105233082
2020-06-03,1340345.5332076135,1.3403455332076135
2020-06-04,1351824.977244306,1.3518249772443058
2020-06-05,1373041.4769517158,1.3730414769517159
2020-06-08,1324413.9142359267,1.3244139142359268
2020-06-09,1353844.2041121088,1.3538442041121088
2020-06-10,1363151.842305337,1.363151842305337
2020-06-11,1358494.552253636,1.358494552253636
2020-06-12,1347481.1042421167,1.3474811042421166
2020-06-15,1333777.410599267,1.333777410599267
2020-06-16,1359655.1353421481,1.3596551353421482
2020-06-17,1383101.3617499317,1.3831013617499317
2020-06-18,1395872.8172709006,1.3958728172709005
2020-06-19,1400535.1314826463,1.4005351314826464
2020-06-22,1394438.9958038786,1.3944389958038785
2020-06-23,1400117.260778353,1.4001172607783532
2020-06-24,1412147.8135009385,1.4121478135009384
2020-06-29,1373513.002445551,1.373513002445551
2020-06-30,1377042.0325643013,1.3770420325643014
2020-07-01,1388657.627997064,1.388657627997064
2020-07-02,1387757.0092016773,1.3877570092016773
2020-07-03,1389068.5464244427,1.3890685464244428
2020-07-06,1353859.2323444313,1.3538592323444314
2020-07-07,1357191.7248777938,1.3571917248777938
2020-07-08,1384605.3047157752,1.3846053047157751
2020-07-09,1388290.480481674,1.388290480481674
2020-07-10,1356351.7212339076,1.3563517212339076
2020-07-13,1387522.8172221743,1.3875228172221743
2020-07-14,1378562.0911338944,1.3785620911338945
2020-07-15,1383032.687925478,1.383032687925478
2020-07-16,1373908.4629232015,1.3739084629232015
2020-07-17,1391065.9586275513,1.3910659586275513
2020-07-20,1379221.1024322216,1.3792211024322216
2020-07-21,1396653.9833215051,1.396653983321505
2020-07-22,1409333.118181933,1.4093331181819329
2020-07-23,1426630.351087486,1.4266303510874858
2020-07-24,1426733.3095939693,1.4267333095939692
2020-07-27,1432136.684137387,1.432136684137387
2020-07-28,1409466.8598405076,1.4094668598405076
2020-07-29,1410459.0931643576,1.4104590931643577
2020-07-30,1420048.9059807605,1.4200489059807604
2020-07-31,1411875.0374196626,1.4118750374196627
2020-08-03,1415162.2484637657,1.4151622484637658
