,2019-12-31
601965.SH,0.0013386880856760374
603039.SH,0.0013386880856760374
603042.SH,0.0013386880856760374
603003.SH,0.0013386880856760374
603010.SH,0.0013386880856760374
601336.SH,0.0013386880856760374
603028.SH,0.0013386880856760374
603033.SH,0.0013386880856760374
603035.SH,0.0013386880856760374
603037.SH,0.0013386880856760374
603038.SH,0.0013386880856760374
601595.SH,0.0013386880856760374
601601.SH,0.0013386880856760374
601288.SH,0.0013386880856760374
601298.SH,0.0013386880856760374
601299.SH,0.0013386880856760374
601318.SH,0.0013386880856760374
601319.SH,0.0013386880856760374
002323.SZ,0.0013386880856760374
002275.SZ,0.0013386880856760374
002279.SZ,0.0013386880856760374
002299.SZ,0.0013386880856760374
002341.SZ,0.0013386880856760374
002311.SZ,0.0013386880856760374
002316.SZ,0.0013386880856760374
002319.SZ,0.0013386880856760374
002327.SZ,0.0013386880856760374
002335.SZ,0.0013386880856760374
002207.SZ,0.0013386880856760374
002176.SZ,0.0013386880856760374
002179.SZ,0.0013386880856760374
002188.SZ,0.0013386880856760374
601669.SH,0.0013386880856760374
601677.SH,0.0013386880856760374
601339.SH,0.0013386880856760374
601566.SH,0.0013386880856760374
601579.SH,0.0013386880856760374
601798.SH,0.0013386880856760374
601607.SH,0.0013386880856760374
601615.SH,0.0013386880856760374
601628.SH,0.0013386880856760374
601668.SH,0.0013386880856760374
600999.SH,0.0013386880856760374
601006.SH,0.0013386880856760374
601688.SH,0.0013386880856760374
601717.SH,0.0013386880856760374
601727.SH,0.0013386880856760374
601766.SH,0.0013386880856760374
601088.SH,0.0013386880856760374
601098.SH,0.0013386880856760374
600977.SH,0.0013386880856760374
600991.SH,0.0013386880856760374
600993.SH,0.0013386880856760374
600997.SH,0.0013386880856760374
600998.SH,0.0013386880856760374
002391.SZ,0.0013386880856760374
002394.SZ,0.0013386880856760374
002364.SZ,0.0013386880856760374
002367.SZ,0.0013386880856760374
002369.SZ,0.0013386880856760374
002372.SZ,0.0013386880856760374
002410.SZ,0.0013386880856760374
002412.SZ,0.0013386880856760374
002382.SZ,0.0013386880856760374
002388.SZ,0.0013386880856760374
002272.SZ,0.0013386880856760374
002401.SZ,0.0013386880856760374
002404.SZ,0.0013386880856760374
002301.SZ,0.0013386880856760374
002303.SZ,0.0013386880856760374
002254.SZ,0.0013386880856760374
002258.SZ,0.0013386880856760374
002266.SZ,0.0013386880856760374
002267.SZ,0.0013386880856760374
002268.SZ,0.0013386880856760374
002468.SZ,0.0013386880856760374
002470.SZ,0.0013386880856760374
