,nav
2023-03-09,1.167521467832712
2023-03-10,1.1579113334732032
2023-03-13,1.1702125959302585
2023-03-14,1.1758817246119635
2023-03-15,1.1803633849921114
2023-03-16,1.1841628679807716
2023-03-17,1.1959342055624425
2023-03-20,1.212137717501626
2023-03-21,1.2048243053582866
2023-03-22,1.2011758230626357
2023-03-23,1.2072321289823191
2023-03-24,1.2080695344092696
2023-03-27,1.1990627691119935
2023-03-28,1.1956488518534942
2023-03-29,1.1965520185084058
2023-03-30,1.2014280226099199
2023-03-31,1.2061408488983338
2023-04-03,1.2009291504753798
2023-04-04,1.215092412689594
2023-04-06,1.2258195020772455
2023-04-07,1.2227224124882385
2023-04-10,1.217416807002114
2023-04-11,1.2227023762809976
2023-04-12,1.2318988808169278
2023-04-13,1.2309505787597894
2023-04-14,1.2360636385975472
2023-04-17,1.2357632351819277
2023-04-18,1.2355271106284444
2023-04-19,1.2318906342615765
2023-04-20,1.2380019337671917
2023-04-21,1.2278956854450376
2023-04-24,1.2300041835818705
2023-04-25,1.237139539357253
2023-04-26,1.2337445065806643
2023-04-27,1.2373739000912665
2023-04-28,1.235140597283862
2023-05-04,1.2583195834233702
2023-05-05,1.2611595130745132
2023-05-08,1.264105767017391
2023-05-09,1.2619658435838055
2023-05-10,1.2551499603744851
2023-05-11,1.2539334028360367
2023-05-12,1.2467763183905185
2023-05-15,1.2483182381824298
2023-05-16,1.2454296833587233
2023-05-17,1.2470780548420557
2023-05-18,1.2577928056919674
2023-05-19,1.2628695827614407
2023-05-22,1.2636641645427182
2023-05-23,1.2658818296811325
2023-05-24,1.260188097295139
2023-05-25,1.2667371203784512
2023-05-26,1.2653874626427546
2023-05-29,1.2880892507575576
2023-05-30,1.2880731260031077
2023-05-31,1.2864454812652342
2023-06-01,1.2853590100055043
2023-06-02,1.2918461237920247
2023-06-05,1.297063895971278
2023-06-06,1.29794802540243
2023-06-07,1.2996079077904756
2023-06-08,1.2863765641024283
2023-06-09,1.2965909358828522
2023-06-12,1.2955718145423492
2023-06-13,1.3046320488109018
2023-06-14,1.3037600472863737
2023-06-15,1.3066299607415235
2023-06-16,1.3083341178754642
2023-06-19,1.3076831943129836
2023-06-20,1.3039362451286156
2023-06-21,1.3032615962178808
2023-06-26,1.3007571487184593
2023-06-27,1.2955488339040129
2023-06-28,1.2980539935849436
2023-06-29,1.3024334382512681
2023-06-30,1.3030629005520464
2023-07-03,1.3161191885404742
2023-07-04,1.3107633222088495
2023-07-05,1.3088146328490706
2023-07-06,1.3078817628842632
2023-07-07,1.3068715588920368
2023-07-10,1.3018803860593318
2023-07-11,1.3053252783285239
2023-07-12,1.3059057426915752
2023-07-13,1.3129021345989462
2023-07-14,1.3176414098081675
2023-07-17,1.3213622972087287
2023-07-18,1.3268417107444679
2023-07-19,1.337624286073731
2023-07-20,1.3286604048556936
2023-07-21,1.319750155111941
2023-07-24,1.3204575016533167
2023-07-25,1.3175087346153982
2023-07-26,1.3203077916935921
2023-07-27,1.323651344484273
2023-07-28,1.3203179797047628
2023-07-31,1.3244533753004535
2023-08-01,1.327382790064455
2023-08-02,1.3182832647254263
2023-08-03,1.3146026633907772
2023-08-04,1.3160052484140725
2023-08-07,1.31641687470318
2023-08-08,1.3174364649428119
2023-08-09,1.3186952183250737
2023-08-10,1.3184434676486214
2023-08-11,1.3179525538295394
2023-08-14,1.3183175923103951
2023-08-15,1.3219679771189545
2023-08-16,1.3227358166821344
2023-08-17,1.3220938524571808
2023-08-18,1.3222952529983427
2023-08-21,1.322119027524826
2023-08-22,1.3218421017807283
2023-08-23,1.3214141256307592
2023-08-24,1.3213637754954688
2023-08-25,1.3218924519160187
2023-08-28,1.3212165551930448
