tilt,dev,temp,ema,bond_c,ann,vol,sharpe,mdd,ymean,ystd,ymin,ymax,yrange,util,y2021,y2022,y2023,y2024,y2025
0.25,0.15,0.14,0.3,0.35,0.10959036455903881,0.0730189949215963,1.5008473435810885,-0.08342089592886903,0.12031932867347184,0.0704066511944831,0.0077917738296713335,0.19551274606394942,0.18772097223427808,0.30437341947757757,0.10635312024308252,0.0077917738296713335,0.14527387603788222,0.19551274606394942,0.1466651271927737
0.25,0.15,0.08,0.3,0.35,0.11429424365172802,0.07478611378521302,1.5282816269873711,-0.08619422537131749,0.12489357073251775,0.0734876505816528,0.006472106385945642,0.20021348338801515,0.1937413770020695,0.30360764747019053,0.11038970815704174,0.006472106385945642,0.1579065501614656,0.20021348338801515,0.1494860055701206
0.35,0.12,0.14,0.3,0.35,0.11153513556310823,0.07280051632156491,1.5320651720442453,-0.08167472385054653,0.12027110660144005,0.07289775146598021,0.004758327147508901,0.20045742069498873,0.19569909354747983,0.3018444936585951,0.10579526530084316,0.004758327147508901,0.14927083495041615,0.20045742069498873,0.1410736849134433
0.35,0.15,0.06,0.3,0.45,0.10290409159923386,0.06869532661381048,1.497978052826465,-0.07849866900885505,0.11070431307247644,0.06625650155531732,0.0030523668581965424,0.18266820737333944,0.1796158405151429,0.3010653176717105,0.10695078387028634,0.0030523668581965424,0.13057383965461722,0.18266820737333944,0.13027636760594263
0.35,0.15,0.1,0.3,0.4,0.10648354005322447,0.07020178416310369,1.516820994261704,-0.07919396534565193,0.11457318781544315,0.06961122773049208,0.0036469664336631347,0.19238001464384258,0.18873304821017944,0.3008487636323194,0.10468233232997903,0.0036469664336631347,0.13518573594596162,0.19238001464384258,0.13697088972376936
0.25,0.15,0.1,0.3,0.35,0.11200649333187584,0.07452226478808915,1.502993684509945,-0.0858448762955305,0.12327202674383311,0.07223185901649341,0.007083434062736815,0.1974296827522506,0.19034624868951378,0.2997050660539654,0.10851309411446652,0.007083434062736815,0.1561529447880463,0.1974296827522506,0.1471809780016653
0.25,0.12,0.08,0.3,0.35,0.11135158439386372,0.07408181387302078,1.5030893355921986,-0.08481013865115583,0.12222979072680444,0.0718794718710779,0.006205605203510878,0.19815162372152084,0.19194601851800996,0.29876196063889626,0.11109928402317193,0.006205605203510878,0.14936385702633448,0.19815162372152084,0.1463285836594841
0.25,0.12,0.06,0.3,0.35,0.11421358808690574,0.07482467360990293,1.5264161215370775,-0.08269239867520761,0.12506845955045773,0.07471885141544161,0.005212864350992552,0.20646443439027484,0.2012515700392823,0.29858331120661263,0.114173525570062,0.005212864350992552,0.15121594132185545,0.20646443439027484,0.14827553211910383
0.25,0.15,0.06,0.3,0.35,0.11403298754037405,0.07540743814413026,1.5122246604163467,-0.0835908354955075,0.12441772498060186,0.07360686716157931,0.005479878925357173,0.20193481301307203,0.19645493408771486,0.29823948877075823,0.11346258742408666,0.005479878925357173,0.15415117374515974,0.20193481301307203,0.1470601717953337
0.25,0.18,0.1,0.4,0.45,0.10203581367448256,0.06743068493759144,1.5131955691821743,-0.07413121431556846,0.10833172632111505,0.06689927400526623,-0.0002599614408337336,0.18066682142346924,0.18092678286430297,0.29745851664967227,0.10394261264664784,-0.0002599614408337336,0.13266891472120546,0.18066682142346924,0.12464024425508646
