ticker,marketCap,enterpriseValue,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,enterpriseToEbitda,returnOnEquity,returnOnAssets,grossMargins,operatingMargins,profitMargins,debtToEquity,currentRatio,quickRatio,earningsQuarterlyGrowth,revenueGrowth,freeCashflow,operatingCashflow,totalRevenue,ebitda,bookValue,trailingEps,forwardEps,sharesOutstanding,beta,heldPercentInsiders,shortRatio,roe_q,roa_q,ni_growth_q,rev_growth_q,accruals,debt_equity_q,cfo_assets
ALGN,12336781312.0,11355031552.0,30.20174,13.839049,2.9334955,2.9802358,12.477,0.10155,0.07402,0.70365,0.18247,0.09991,2.855,1.395,1.204,-0.131,0.043,584361344.0,755696000.0,4139532032.0,910062016.0,59.199,5.75,12.54855,71039852.0,1.653,0.06871,4.52,,,,,,,
ALLE,14366114816.0,16267814912.0,22.170605,17.327642,6.782832,3.349916,15.503,0.3373,0.1103,0.44801,0.22102,0.15357,104.895,1.93,1.133,0.156,0.127,484449984.0,769299968.0,4288499968.0,1049299968.0,24.907,7.62,9.74974,85036786.0,0.845,0.00232,3.77,,,,,,,
AMT,80396746752.0,130146942976.0,27.87399,24.644945,21.613428,7.3478723,18.475,0.33914003,0.04893,0.73774004,0.45411,0.31083,438.721,0.352,0.299,1.365,0.047,2920012544.0,5774900224.0,10941500416.0,7044400128.0,7.983,6.19,7.00103,465960048.0,0.894,0.00075,2.15,,,,,,,
AMZN,2960627335168.0,3089274241024.0,22.08206,26.569765,5.365549,3.8168151,18.289,0.30558002,0.06589,0.5077,0.13689,0.1744,45.617,1.033,0.843,2.449,0.196,3219124992.0,161402994688.0,775680032768.0,168911994880.0,51.156,12.43,10.33054,10786313572.0,1.454,0.088690005,1.78,,,-0.05709094913014756,-0.07176420078472534,,,
AME,58139635712.0,59969904640.0,37.03066,28.233791,5.3245173,7.39321,23.981,0.14562,0.08162,0.36905998,0.26182,0.20044,20.522,1.214,0.645,0.135,0.15,1492221312.0,1960338944.0,7863923200.0,2500681984.0,47.64,6.85,8.98427,229203002.0,0.997,0.00391,2.8,,,-0.018441988241104768,-0.02591875621465245,,,
AMP,48795029504.0,42761170944.0,133.3285,10.708779,7.669158,2.4595509,,0.63432,0.022750001,0.54932,0.30719998,0.199,67.578,2.182,1.314,0.05,0.116,2903124992.0,8217999872.0,19839000576.0,,71.974,4.14,51.54462,88400000.0,1.137,0.00182,4.08,,,-0.44999999999999996,-0.0048000000000000265,,,
AMCR,22127865856.0,37305290752.0,38.596775,11.187026,1.8983777,0.9971999,11.654,0.08737001,0.04079,0.19143999,0.0859,0.030550001,143.74,1.443,0.749,0.418,0.774,149500000.0,1670000000.0,22190000128.0,3200999936.0,25.211,1.24,4.27817,462345690.0,0.593,0.0025600002,8.84,,,,,,2.4004154764996106,
AMD,789073100800.0,780238127104.0,123.306114,31.265461,11.734601,19.103573,81.598,0.10196,0.05128,0.55724,0.1725,0.15577,6.361,2.609,1.688,1.634,0.501,8841499648.0,10080000000.0,41305001984.0,9562000384.0,41.191,3.92,15.45987,1632475042.0,2.489,0.004,1.36,,,,,,,
ANET,237955268608.0,224611958784.0,59.895237,36.688168,16.080286,22.574688,48.412,0.31476,0.14119,0.63004,0.45393002,0.38371,,2.957,2.289,0.365,0.377,3891512576.0,5306599936.0,10540800000.0,4639600128.0,11.733,3.15,5.14253,1261224648.0,1.615,0.17241,2.27,,,0.04196951934349347,-0.04483819260927957,,,
AMAT,428055298048.0,427082285056.0,50.76648,31.619184,17.903301,14.7483225,46.047,0.39692003,0.14858,0.48956,0.31896,0.29314,30.399,2.508,1.624,0.313,0.114,3040375040.0,7992999936.0,29024000000.0,9274999808.0,30.114,10.62,17.05104,793959430.0,1.618,0.00321,1.34,,,,,,,
