date,dd_scale
2021-08-13,0.881935254010753
2021-08-16,0.9006202628200468
2021-08-17,0.9305154361101786
2021-08-18,0.9391668148333885
2021-08-19,0.8766523157935174
2021-08-20,0.8146371730806898
2021-08-23,0.8466936081412718
2021-08-24,0.8609265760778256
2021-08-25,0.8263973320971549
2021-08-26,0.8554435459407994
2021-08-27,0.7963652512477661
2021-08-30,0.8065184108619681
2021-08-31,0.7524792915574907
2021-09-01,0.757020586300233
2021-09-02,0.7661579172081425
2021-09-03,0.7395267744055989
2021-09-06,0.7324800431158176
2021-09-07,0.742649926152806
2021-09-08,0.7468807900863998
2021-09-09,0.7757586880156808
2021-09-10,0.7681500462700094
2021-09-13,0.7110510380074222
2021-09-14,0.6788661088387391
2021-09-15,0.7068552830228438
2021-09-16,0.7261974328003337
2021-09-17,0.7650584394090179
2021-09-22,0.7479941936948178
2021-09-23,0.7379542177411699
2021-09-24,0.7728666493183614
2021-09-27,0.7794351042895955
2021-09-28,0.7628941780871479
2021-09-29,0.8474219805938787
2021-09-30,0.8102548590075589
2021-10-08,0.8353236487981917
2021-10-11,0.9504251747090664
2021-10-12,0.9756968786406289
2021-10-13,0.9633530607245502
2021-10-14,0.8900871939951371
2021-10-15,0.8305471727029068
2021-10-18,0.8706648606532791
2021-10-19,1.0
2021-10-20,1.0
2021-10-21,0.8951113009647729
2021-10-22,0.8371008764421626
2021-10-25,0.7056780549167515
2021-10-26,0.6933380942573244
2021-10-27,0.678695056259061
2021-10-28,0.6646521903921256
2021-10-29,0.6278906449212129
2021-11-01,0.6990080440351512
2021-11-02,0.7314382943733755
2021-11-03,0.8205526495989879
2021-11-04,0.8255053125909223
2021-11-05,0.760090732424257
2021-11-08,0.7498187754106
2021-11-09,0.7671121884189288
2021-11-10,0.7650297912369558
2021-11-11,0.8434694411260668
2021-11-12,0.7224166795208835
2021-11-15,0.8095656653213057
2021-11-16,0.8437497951464806
2021-11-17,0.8491982747081386
2021-11-18,0.830253453344679
2021-11-19,0.816435915828724
2021-11-22,0.8502783130749894
2021-11-23,0.7859339138456672
2021-11-24,0.692720207390153
2021-11-25,0.6506718636274722
2021-11-26,0.6895372141631619
2021-11-29,0.7399730792869632
2021-11-30,0.7148681994418656
2021-12-01,0.6806782280946772
2021-12-02,0.6544409065191104
2021-12-03,0.6438753178074672
2021-12-06,0.5916941683508612
2021-12-07,0.6444566539454027
2021-12-08,0.6104013113768969
2021-12-09,0.6145261237153227
2021-12-10,0.5617577393698409
2021-12-13,0.5755251830978605
2021-12-14,0.5233173735601867
2021-12-15,0.5674029410217016
2021-12-16,0.5841549566185558
2021-12-17,0.5135290435721718
2021-12-20,0.4689068832980161
2021-12-21,0.48999574538517243
2021-12-22,0.4800172618985329
2021-12-23,0.46431445857279097
2021-12-24,0.44063173964741686
2021-12-27,0.4027456617179248
2021-12-28,0.4517873158195215
2021-12-29,0.40923290793716594
2021-12-30,0.3923917237136293
2021-12-31,0.4143772146727872
2022-01-04,0.4145476935053105
2022-01-05,0.40105559493688847
2022-01-06,0.36947748424109306
2022-01-07,0.37132243783647345
2022-01-10,0.38049664681046647
2022-01-11,0.37124529362554415
2022-01-12,0.35869607104363677
2022-01-13,0.36655084693250517
2022-01-14,0.35728131548229736
2022-01-17,0.3558255228963144
2022-01-18,0.3303262714702426
2022-01-19,0.33023027330769583
2022-01-20,0.3401664483826039
2022-01-21,0.35634371266038023
2022-01-24,0.34959371444690435
2022-01-25,0.3299146110977075
2022-01-26,0.3368180915014929
2022-01-27,0.35763444212178697
2022-01-28,0.3573822167530335
2022-02-07,0.4117334131771172
2022-02-08,0.5026820221740632
2022-02-09,0.5310250578206501
2022-02-10,0.45857315120241937
2022-02-11,0.5191528730144379
2022-02-14,0.4745914231891104
2022-02-15,0.5004355703820684
2022-02-16,0.47345151149533327
2022-02-17,0.4653113202964787
2022-02-18,0.4611555111581386
2022-02-21,0.4843471220633694
2022-02-22,0.4897784892061704
2022-02-23,0.5390470673755662
2022-02-24,0.5452311418595459
2022-02-25,0.6171553772263008
2022-02-28,0.5769042691125161
2022-03-01,0.5847943329216729
2022-03-02,0.6090095337450416
2022-03-03,0.6640348250833134
2022-03-04,0.7605997646897558
2022-03-07,0.7294773795174411
