date,pairs,bollinger,reversal
2022-07-28,0.980824437676525,0.8962976041757025,0.6550093759241361
2022-07-29,0.9743294025349013,0.8962976041757025,0.6523838139256405
2022-08-01,0.9775146839340484,0.8962976041757025,0.6515106441687535
2022-08-02,0.9778585090185445,0.8962976041757025,0.6482230334689627
2022-08-03,0.9879162259927322,0.8962976041757025,0.6531034637241546
2022-08-04,0.991195977741519,0.8962976041757025,0.6682268097086798
2022-08-05,0.9988818133840239,0.8962976041757025,0.6551721766822428
2022-08-08,1.0131593792454898,0.8962976041757025,0.6599238845684188
2022-08-09,1.0307379891100863,0.8962976041757025,0.6520201721147388
2022-08-10,1.0157566316573017,0.8962079744152849,0.6466483920015618
2022-08-11,1.0079159810806835,0.8916095673688501,0.6492591759396261
2022-08-12,1.0084275813378596,0.8994379236243597,0.6424870702523214
2022-08-15,1.0053958675729726,0.8936297094159791,0.6451188903768117
2022-08-16,0.9889200351171583,0.8927081606379719,0.6352016546383856
2022-08-17,0.9882662200242339,0.8823264955744494,0.6411629173474485
2022-08-18,1.008254035261659,0.8808598202866377,0.6383561850143269
2022-08-19,1.0100927968230504,0.9030116848820112,0.64671254639519
2022-08-22,1.00409177888199,0.9057057799548894,0.64671254639519
2022-08-23,1.036265873045105,0.9435774581310874,0.6466478751405506
2022-08-24,1.0368735858215257,0.9435774581310874,0.6417808135316547
2022-08-25,1.029302173869241,0.9435774581310874,0.6500469239583891
2022-08-26,1.0190560380413494,0.9435774581310874,0.6599904705482337
2022-08-29,1.0142398547340548,0.9435774581310874,0.6599904705482337
2022-08-30,1.0167829772723636,0.9435774581310874,0.6599904705482337
2022-08-31,1.0204266994146531,0.9435774581310874,0.6599318266812059
2022-09-01,1.0483480386983537,0.9435774581310874,0.6543492030868873
2022-09-02,1.0510392932068073,0.9435774581310874,0.6535649633296772
2022-09-05,1.0860714587807128,0.9435774581310874,0.6619791760428667
2022-09-06,1.0472880987081972,0.9435774581310874,0.6619791760428667
2022-09-07,1.0421608395447977,0.9435774581310874,0.6619791760428667
2022-09-08,1.0362187557147537,0.9435774581310874,0.6619791760428667
2022-09-09,1.0512693623017948,0.9435774581310874,0.6619791760428667
2022-09-13,1.0795725863856542,0.9434831003852743,0.6619791760428667
2022-09-14,1.0804810292252618,0.9476660303869824,0.6619791760428667
2022-09-15,1.081271418636899,0.9610299501623555,0.6619791760428667
2022-09-16,1.0609737214021109,0.9576536843399532,0.6619129781252624
2022-09-19,1.0544821866866276,0.9574142110505458,0.6573953718539323
2022-09-20,1.064064261844443,0.9547813219701567,0.6573284443536163
2022-09-21,1.067218232054526,0.9435934081998756,0.6519742443283361
2022-09-22,1.0540953611146722,0.9391754006208225,0.6475235655573219
2022-09-23,1.062020501667568,0.9460861835540146,0.646586580552898
2022-09-26,1.0259787372649123,0.9536115311943195,0.6427382492847279
2022-09-27,1.0107185154224614,0.9518976355595347,0.6508391304983517
2022-09-28,0.9927988064687544,0.9443564947664811,0.6508391304983517
2022-09-29,0.9893758318539286,0.9481270651630079,0.6508391304983517
2022-09-30,0.9987790634830349,0.9505265190517068,0.6508391304983517
2022-10-10,1.031197761735418,0.961057619335468,0.6507895423573926
2022-10-11,1.0483640122345825,0.961057619335468,0.6572962885761308
2022-10-12,1.0474703612946832,0.961057619335468,0.6624554725938474
2022-10-13,1.0486872633331021,0.961057619335468,0.6681053492855735
2022-10-14,1.0452440401178391,0.961057619335468,0.668038538750645
2022-10-17,1.0573018511647094,0.961057619335468,0.6687341586171006
2022-10-18,1.0762615164452471,0.961057619335468,0.6690826936453058
2022-10-19,1.066100171106759,0.961057619335468,0.6795176308568422
2022-10-20,1.0660834537173107,0.961057619335468,0.6795176308568422
