book,n,tv,soft,hard,is_sharpe,is_cagr,is_dd,oos_sharpe,oos_cagr,oos_dd,oos_vol,full_sharpe,full_cagr,full_dd,oos_hit,full_hit,score
carry_pairs,4,0.24,0.07,0.099,-0.16813372525369313,-0.008976878549455947,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.11485773795023836,-0.00419727568985373,-0.09899999999999998,0,0,-153.36267450507387
carry_pairs,4,0.2,0.08,0.099,-0.16813372525369313,-0.008976878549455947,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.11485773795023836,-0.00419727568985373,-0.09899999999999998,0,0,-153.36267450507387
carry_pairs,4,0.24,0.08,0.099,-0.16813372525369313,-0.008976878549455947,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.11485773795023836,-0.00419727568985373,-0.09899999999999998,0,0,-153.36267450507387
carry_pairs,4,0.2,0.07,0.099,-0.16813372525369313,-0.008976878549455947,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.11485773795023836,-0.00419727568985373,-0.09899999999999998,0,0,-153.36267450507387
carry_pairs,4,0.28,0.08,0.099,-0.16813372525369313,-0.008976878549455947,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.11485773795023836,-0.00419727568985373,-0.09899999999999998,0,0,-153.36267450507387
carry_pairs,4,0.36,0.07,0.099,-0.16813372525369313,-0.008976878549455947,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.11485773795023836,-0.00419727568985373,-0.09899999999999998,0,0,-153.36267450507387
univ_core,21,0.24,0.08,0.095,-0.19006103991117407,-0.01118292590730341,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.12983593503847451,-0.0052318483953816,-0.09499999999999997,0,0,-153.80122079822348
univ_core,21,0.2,0.08,0.095,-0.19006103991117407,-0.01118292590730341,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.12983593503847451,-0.0052318483953816,-0.09499999999999997,0,0,-153.80122079822348
univ_core,21,0.16,0.08,0.095,-0.19006103991117407,-0.01118292590730341,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.12983593503847451,-0.0052318483953816,-0.09499999999999997,0,0,-153.80122079822348
univ_core,21,0.28,0.08,0.095,-0.19006103991117407,-0.01118292590730341,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.12983593503847451,-0.0052318483953816,-0.09499999999999997,0,0,-153.80122079822348
univ_core,21,0.12,0.08,0.095,-0.19006103991117407,-0.01118292590730341,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.12983593503847451,-0.0052318483953816,-0.09499999999999997,0,0,-153.80122079822348
univ_core,21,0.36,0.08,0.095,-0.19006103991117407,-0.01118292590730341,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.12983593503847451,-0.0052318483953816,-0.09499999999999997,0,0,-153.80122079822348
univ_core,21,0.32,0.08,0.095,-0.19006103991117407,-0.01118292590730341,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.12983593503847451,-0.0052318483953816,-0.09499999999999997,0,0,-153.80122079822348
is040,9,0.32,0.08,0.095,-0.27961420771334833,-0.011882153201843493,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.19100365949242487,-0.005560022852487134,-0.09499999999999997,0,0,-155.59228415426696
is040,9,0.36,0.08,0.095,-0.27961420771334833,-0.011882153201843493,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.19100365949242487,-0.005560022852487134,-0.09499999999999997,0,0,-155.59228415426696
is040,9,0.28,0.08,0.095,-0.27961420771334833,-0.011882153201843493,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.19100365949242487,-0.005560022852487134,-0.09499999999999997,0,0,-155.59228415426696
is040,9,0.24,0.08,0.095,-0.27961420771334833,-0.011882153201843493,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.19100365949242487,-0.005560022852487134,-0.09499999999999997,0,0,-155.59228415426696
is040,9,0.12,0.08,0.095,-0.27961420771334833,-0.011882153201843493,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.19100365949242487,-0.005560022852487134,-0.09499999999999997,0,0,-155.59228415426696
is040,9,0.2,0.08,0.095,-0.27961420771334833,-0.011882153201843493,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.19100365949242487,-0.005560022852487134,-0.09499999999999997,0,0,-155.59228415426696
is040,9,0.16,0.08,0.095,-0.27961420771334833,-0.011882153201843493,-0.09499999999999997,0.0,0.0,0.0,0.0,-0.19100365949242487,-0.005560022852487134,-0.09499999999999997,0,0,-155.59228415426696
legacy5,5,0.36,0.08,0.099,-0.28206973124499096,-0.012434282830583565,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.1926807389623227,-0.005819246235319486,-0.09899999999999998,0,0,-155.64139462489982
legacy5,5,0.32,0.08,0.099,-0.28206973124499096,-0.012434282830583565,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.1926807389623227,-0.005819246235319486,-0.09899999999999998,0,0,-155.64139462489982
legacy5,5,0.24,0.07,0.099,-0.28206973124499096,-0.012434282830583565,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.1926807389623227,-0.005819246235319486,-0.09899999999999998,0,0,-155.64139462489982
legacy5,5,0.24,0.08,0.099,-0.28206973124499096,-0.012434282830583565,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.1926807389623227,-0.005819246235319486,-0.09899999999999998,0,0,-155.64139462489982
legacy5,5,0.2,0.07,0.099,-0.28206973124499096,-0.012434282830583565,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.1926807389623227,-0.005819246235319486,-0.09899999999999998,0,0,-155.64139462489982
legacy5,5,0.16,0.07,0.099,-0.28206973124499096,-0.012434282830583565,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.1926807389623227,-0.005819246235319486,-0.09899999999999998,0,0,-155.64139462489982
legacy5,5,0.32,0.07,0.099,-0.28206973124499096,-0.012434282830583565,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.1926807389623227,-0.005819246235319486,-0.09899999999999998,0,0,-155.64139462489982
legacy5,5,0.36,0.07,0.099,-0.28206973124499096,-0.012434282830583565,-0.09899999999999998,0.0,0.0,0.0,0.0,-0.1926807389623227,-0.005819246235319486,-0.09899999999999998,0,0,-155.64139462489982
