date,live_v3_unlevered,fixed_IS_vol10,target_vol10,fixed_IS_vol12,target_vol12,fixed_IS_vol14,target_vol14
2018-09-04,0.9987906382688354,0.992407527596063,0.9893662542743905,0.9907002534513382,0.9795961806389181,0.9889308880053244,0.9766963115453375
2018-09-05,0.9985372215170206,0.9909631998268605,0.9875393626488175,0.9889700418027243,0.9774255595354137,0.9869159128815875,0.9741714168196342
2018-09-06,0.9996490440528105,0.9972923236991568,0.9955540598481739,0.9965497144706738,0.9869446979404803,0.9957404971763049,0.985240104215739
2018-09-07,0.9985464858021441,0.990982876371266,0.987655253979034,0.988984015487144,0.9775480997401201,0.9869210157686573,0.974296340452243
2018-09-10,0.9977435296478946,0.9864119466065876,0.9820063821329382,0.9835099635159521,0.97083882269239,0.980547943684874,0.9664948882722172
2018-09-11,0.997949486488045,0.9875799133528019,0.9834388834334755,0.9849074002796597,0.9725382754471856,0.982173376500571,0.9684687117558971
2018-09-12,0.9985147476516818,0.9907886028426106,0.9874233041891659,0.9887474079359312,0.9772665835370993,0.986640949288182,0.9739619881169442
2018-09-13,0.9987362946876329,0.9920495802835838,0.9889892796420989,0.9902574634686461,0.9791264247715097,0.9883989274947869,0.9761244657317768
2018-09-14,0.9980300346985701,0.988025542936007,0.9839557557587664,0.9854373418587055,0.9731464332646175,0.982786006539395,0.9691691990999668
2018-09-17,0.9974450101071708,0.9847034365381727,0.9797826175885606,0.9814612571656007,0.9681936806611535,0.9781597217386455,0.9634146031882367
2018-09-18,0.9972315551605032,0.9834946835250147,0.9782148961541122,0.9800155293967601,0.9663346666815762,0.9764787131689778,0.9612564591518028
2018-09-19,0.9969168406422103,0.9817143243099649,0.9758907649637679,0.9778866560541204,0.9635795805981702,0.9740039910721758,0.9580590834234376
2018-09-20,0.9971889800328017,0.9832515316791862,0.9778952538900785,0.9797241126787932,0.9659546225618059,0.9761391789836809,0.9608140908990566
2018-09-21,0.9973838817227395,0.9843538768918771,0.9793328767353631,0.9810421813323248,0.9676587049907314,0.9776712989374114,0.9627916069922313
2018-09-25,0.9978291676023845,0.9868747018415249,0.9826194095128626,0.9840569941943433,0.9715555316492863,0.9811764951530012,0.9673150379412271
2018-09-26,0.9973441470961398,0.9841231305063894,0.9790274735775083,0.9807645360790683,0.967293740937393,0.9773465378552537,0.962364650174882
2018-09-27,0.9975461283019272,0.9852663515526054,0.980515241947048,0.9821317194620472,0.9690576657350027,0.9789360263406292,0.9644120758245076
2018-09-28,0.9983721952204359,0.9899464043072125,0.9866410539419095,0.987729915221168,0.9763227420767238,0.9854460031963452,0.9728473652856701
2018-10-08,0.998289500197372,0.9894760626638266,0.9860299280372549,0.9871667689625118,0.975597060391451,0.9847905184076409,0.9720037503627393
2018-10-09,0.9980946937711183,0.988368503530979,0.984587725187454,0.9858407998620592,0.973884728356798,0.9832472782189547,0.9700133876419921
2018-10-10,0.9976677778424244,0.9859435447327204,0.9814240259132138,0.9829382913590863,0.9701295585579348,0.979869926774096,0.9656497714798438
2018-10-11,0.9971074622951182,0.9827673024001382,0.9772282233200152,0.9791384183606657,0.9651525390311324,0.9754505803501959,0.9598700615974235
2018-10-12,0.9966303194302711,0.9800697367650808,0.973671617593941,0.9759132925638874,0.9609373512603278,0.9717021052626016,0.954979258214696
2018-10-15,0.9965375144918625,0.9795462462405238,0.9729765477803867,0.9752877680621727,0.9601141761361786,0.970975475762678,0.9540248418178885
2018-10-16,0.9967268187881504,0.980613595657695,0.9743972665736945,0.9765630191304838,0.961796501068104,0.9724566903117293,0.9559751061230286
2018-10-17,0.9958057271935675,0.9754155577795517,0.9674789772602764,0.9703511392385723,0.9536019134805341,0.9652399706712216,0.9464726191780715
2018-10-18,0.9958057271935675,0.9754155577795517,0.9674789772602764,0.9703511392385723,0.9536019134805341,0.9652399706712216,0.9464726191780715
2018-10-19,0.9957630498052592,0.9751757696127986,0.9671630175013602,0.9700648874326473,0.9532282001437894,0.9649077693138849,0.9460398798890046
2018-10-22,0.9947820424224684,0.9696649775368755,0.9598744402717933,0.9634865953199329,0.9446079234436754,0.9572738957530804,0.9360587304417387
2018-10-23,0.9944772934406556,0.9679610509051373,0.9576484442236286,0.9614549115852987,0.9419792127501536,0.9549188820816794,0.9330196576981071
2018-10-24,0.9945711496813602,0.9684850626492223,0.9583321532168992,0.9620794991113456,0.9427862391654726,0.955642613880338,0.933952233225797
2018-10-25,0.9949899598276858,0.9708243798743067,0.9613969372135425,0.9648681130788325,0.946404320226429,0.9588742297714326,0.9381337756980763
2018-10-26,0.9939589416228569,0.9650540164845443,0.9538277832911147,0.9579861602753232,0.9374629811869184,0.9508951616600544,0.9277933739945563
